pl_name,pl_rade,pl_masse,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_spectype,st_mass,st_lum,st_rad,st_teff
OGLE-2012-BLG-0950L b,,31,,,,2.4,,0.5,,,
OGLE-2013-BLG-0102L b,,4100,,,,0.8,,0.096,,,
OGLE-2013-BLG-0132L b,,92,,,,3.6,,0.54,,,
OGLE-2013-BLG-0341L B b,,2.32,,,,0.883,,0.1452,,,
OGLE-2013-BLG-0911L b,,3020,,,,0.39,,0.29,,,
OGLE-2013-BLG-1721L b,,200,,,,2.6,,0.46,,,
OGLE-2013-BLG-1761L b,,860,,,,1.8,,0.33,,,
OGLE-2014-BLG-0124L b,,206.5884646,,,,3.48,,0.9,,,
OGLE-2014-BLG-0221L b,,1382.55357,,,,3.76,,0.69,,,
OGLE-2014-BLG-0319L b,,181.162192,,,,3.49,M,0.52,,,
OGLE-2014-BLG-0676L b,,1185.499958,,,,2.56,,0.73,,,
OGLE-2014-BLG-1722L b,,,,,,,,,,,
OGLE-2014-BLG-1722L c,,83.7,,,,1.7,,0.4,,,
OGLE-2014-BLG-1760L b,,180,,,,1.75,,0.51,,,
OGLE-2015-BLG-0051L b,,230,,,,0.73,,0.1,,,
OGLE-2015-BLG-0954L b,,1100,,,,1.6,,0.3,,,
OGLE-2015-BLG-0966L b,,21,,,,2.7,,0.38,,,
OGLE-2015-BLG-1609L b,,44.49597698,,,,,,0.118,,,
OGLE-2015-BLG-1649L b,,807,,,,2.07,,0.34,,,
OGLE-2015-BLG-1670L b,,17.9,,,,2.62,,0.55,,,
OGLE-2015-BLG-1771L b,,127,,,,0.78,,0.086,,,
OGLE-2016-BLG-0007L b,,1.32,,,14200,10.1,,0.59,,,
OGLE-2016-BLG-0263L b,,1300,,,,5.4,,0.13,,,
OGLE-2016-BLG-0613L AB b,,871,,,,4.19,,0.8,,,
OGLE-2016-BLG-1067L b,,140,,,,1.71,,0.31,,,
OGLE-2016-BLG-1093L b,,235.1930212,,,,2.23,,0.48,,,
OGLE-2016-BLG-1190L b,,4253,,,1220,2.17,,0.88,,,
OGLE-2016-BLG-1195L b,,1.43,,,,1.16,,0.078,,,
OGLE-2016-BLG-1227L b,,1580,,,,11.5,,0.68,,,
OGLE-2016-BLG-1598L b,,222.4798849,,,,1.92,,0.55,,,
OGLE-2016-BLG-1800L b,,791.3927334,,,,1.49,,0.41,,,
OGLE-2017-BLG-0173L b,,8.95,,,,3.727,,0.396,,,
OGLE-2017-BLG-0364L b,,256,,,,1.96,,0.55,,,
OGLE-2017-BLG-0373L b,,60.1,,,,2.575,,0.276,,,
OGLE-2017-BLG-0406L b,,130,,,,3.5,,0.56,,,
OGLE-2017-BLG-0448L b,,504,,,,1.03,,0.65,,,
OGLE-2017-BLG-0482L b,,9,,,,1.8,,0.2,,,
OGLE-2017-BLG-0604L b,,160,,,,4.06,,0.7,,,
OGLE-2017-BLG-0640L b,,514.8820193,,,,1.14,,0.32,,,
OGLE-2017-BLG-1049L b,,1760,,,,3.92,,0.55,,,
OGLE-2017-BLG-1099L b,,959.8417891,,,,2.73,,0.45,,,
OGLE-2017-BLG-1140L b,,515,,,,1.02,,0.213,,,
OGLE-2017-BLG-1237L b,,1207.747947,,,,2.53,,0.46,,,
OGLE-2017-BLG-1275L b,,1802.087068,,,,1.21,,0.65,,,
OGLE-2017-BLG-1375L b,,3283,,,,2.97,,0.77,,,
OGLE-2017-BLG-1434L b,,,,,,,,,,,
OGLE-2017-BLG-1522L b,,240,,,,0.59,,0.045,,,
OGLE-2017-BLG-1691L b,,14.62010672,,,,2.54,,0.45,,,
OGLE-2017-BLG-1806L b,,2.68,,,,1.91,,0.48,,,
OGLE-2018-BLG-0298L b,,44.49597698,,,,2.86,,0.69,,,
OGLE-2018-BLG-0383L b,,6.4,,,,1.8,,0.1,,,
OGLE-2018-BLG-0506L b,,16.3,,,,3,,0.63,,,
OGLE-2018-BLG-0516L b,,20.1,,,,2.2,,0.47,,,
OGLE-2018-BLG-0532L b,,6.554,,,,1.103,,0.203,,,
OGLE-2018-BLG-0567L b,,101.7050902,,,,2.72,,0.25,,,
OGLE-2018-BLG-0596L b,,1.19,,,,2.77,,0.154,,,
OGLE-2018-BLG-0677L b,,3.96,,,,0.63,,0.12,,,
OGLE-2018-BLG-0740L b,,1200,,,,4.6,,0.83,,,5912
OGLE-2018-BLG-0799L b,,85.81366989,,,,1.31,,0.096,,,
OGLE-2018-BLG-0932L b,,282.8672822,,,,1.75,,0.72,,,
OGLE-2018-BLG-0962L b,,425.8900654,,,,3.59,,0.54,,,
OGLE-2018-BLG-0977L b,,6.4,,,,2,,0.47,,,
OGLE-2018-BLG-1011L b,,570,,,,1.8,,0.18,,,
OGLE-2018-BLG-1011L c,,890,,,,0.8,,0.18,,,
OGLE-2018-BLG-1119L b,,289.2238504,,,,4.11,,0.48,,,
OGLE-2018-BLG-1126L b,,17.79839079,,,,3.23,,0.69,,,
OGLE-2018-BLG-1185L b,,2.1,,,,1.14,,0.091,,,
OGLE-2018-BLG-1212L b,,63.5656814,,,,1.68,,0.16,,,
OGLE-2018-BLG-1269L b,,,,,,,,,,,
OGLE-2018-BLG-1367L b,,301.9369867,,,,,,0.28,,,
OGLE-2018-BLG-1428L b,,240,,,,3.3,,0.43,,,
OGLE-2018-BLG-1647L b,,308.2935548,,,,1.36,,0.092,,,
OGLE-2018-BLG-1700L b,,1400,,,,2.8,,0.42,,,
OGLE-2019-BLG-0249L b,,2262.938258,,,,1.84,,0.91,,,
OGLE-2019-BLG-0299L b,,1976.892692,,,,2.8,,0.59,,,
OGLE-2019-BLG-0304L b,,162.0924876,,,,1.23,,0.27,,,
OGLE-2019-BLG-0362L b,,1036.120607,,,,2.18,,0.42,,,
OGLE-2019-BLG-0468L b,,1090.151436,,,,3.29,G,0.92,,,
OGLE-2019-BLG-0468L c,,3222.780047,,,,5.32,G,0.92,,,
OGLE-2019-BLG-0679L b,,1061.546879,,,,6.99,,0.66,,,
OGLE-2019-BLG-0954L b,,4513.163379,,,,2.65,,0.8,,,
OGLE-2019-BLG-0960L b,,1.8,,,,1.45,,0.42,,,
OGLE-2019-BLG-1053L b,,2.46,,,,3.4,,0.6,,,
OGLE-2019-BLG-1180L b,,555.246227,,,,5.19,,0.545,,,
OGLE-2019-BLG-1470L AB c,,794.5710175,,,,3,,0.6,,,
OGLE-2019-BLG-1492L b,,37.1,,,,2.7,,0.68,,,
OGLE-2023-BLG-0836L b,,1385.731855,,,,3.7,,0.71,,,
OGLE-TR-10 b,14.011,197.046,,,3.101278,0.0434,,1.14,0.188,1.17,5950
OGLE-TR-111 b,11.781,174.799,,,4.0161,0.04689,,0.852,-0.397,0.831,5040
OGLE-TR-113 b,,,,,1.43247506,,,0.73,-0.57379,0.817544,4588
OGLE-TR-132 b,13.4508,858.141,,,1.68986531,0.03036,,1.305,,1.32,6210
OGLE-TR-182 b,12.666,320.995,,,3.9791,0.051,,1.14,,1.14,5924
OGLE-TR-211 b,15.244,327.351,,,3.67724,0.051,,1.33,,1.64,6325
OGLE-TR-56 b,15.277867,1048.839,,,1.21191096,0.02385,,1.228,,1.363,6050
OGLE2-TR-L9 b,18.304297,1398.452,2034,,2.48553417,0.04047,,1.427,,1.499,6933
Oph 11 b,,5720.911326,2408,,,256,,,,,
PDS 70 b,,,,,,20.6,,,,,
PDS 70 c,,,,,,34.5,,,,,
PH1 b,6.18,169,481,,138.317,0.652,F,1.528,,1.734,6407
PH2 b,,,,,282.525517,,,1.05,-0.05121,0.926307,5823
POTS-1 b,10.548,734.16,,,3.1606296,0.03734,K5 V,0.695,,0.588,4400
PSR B0329+54 b,,,,,10140,10.26,,1.44,,,
PSR B1257+12 b,,0.02,,,25.262,0.19,,1.4,,,
PSR B1257+12 c,,,,,66.536,0.36,,,,,
PSR B1257+12 d,,,,,98.223,0.47,,,,,
PSR B1620-26 b,,794.575,,,,23,,1.35,,,
PSR J1719-1438 b,,382.8,,,0.090706293,0.0044,,1.4,,,4500
PSR J2322-2650 b,,,,,0.322963997,0.0102,,1.4,,,
PZ Tel b,,8581.366989,,,44000,27,G9 IV,1.36,,,
Pr0201 b,,,,,4.4264,0.06,,1.24,,1.15,6174
Pr0211 b,,,,,2.1451,,,0.952,,0.868,5326
Pr0211 c,,,,,4850,5.5,,0.935,,0.827,5300
Proxima Cen b,,,,,11.1855,,,,,0.154,
Proxima Cen d,,,,,5.122,0.02885,M5.5 V,0.1221,-2.79588,0.141,2900
Qatar-1 b,,,,,1.420024291,,,,,,
Qatar-10 b,19.0536,,1818,1816.48,1.6453265,,,,,1.32,6023
Qatar-2 b,11.5,,,,1.337116,,,,,0.66,
Qatar-3 b,,,,,2.5078952,,,1.19,0.60104,1.72725,6207.39
Qatar-4 b,,,,,1.8053646,,K1 V,0.896,-0.31785,0.849,5215
Qatar-5 b,12.09205065,,1308.7,693.232,2.879102286,,,,,1.1146,5583
Qatar-6 b,12.85761953,,927.51,174.9015,3.506164942,,,,,0.771086,4906
Qatar-7 b,19.0553,597.5204,2053,,2.032046,0.0352,F4 V,1.409,0.56348,1.564,6387
Qatar-8 b,,,,,3.7146467,,,,,,
Qatar-9 b,13.3674,,1061,210.669,1.540776,,,,,0.77,4234
ROXs 12 b,,5085,,,,210,M0,0.87,,,3850
ROXs 42 B b,,,,,,140,,,,1.33658,3433
RR Cae b,,,,,4343.5,5.3,M,0.44,,,
Ross 128 b,,,301,1.38,9.8658,0.0496,M4,0.168,-2.44129,0.1967,3192
Ross 176 b,1.84,4.57,682,36.2,5.0066338,0.0464,K7 V,0.577,-1.10891,0.569,4041
Ross 458 c,14.01125,1906.98,,,,1100,,,,,
Ross 508 b,,,,,10.77,0.05366,M4.5 V,0.1774,-2.44503,0.2113,3071
SPECULOOS-3 b,0.977,,553,15.54,0.71912603,0.00733,M6.5+/-0.5,0.1009,-3.07831,0.123,2800
SR 12 AB c,,4131.62,,,,,,,,,
SWEEPS-11 b,12.666,3082.82,,,1.796,0.03,,1.1,,1.45,
SWEEPS-4 b,9.079,1207.7,,,4.2,0.055,,1.24,,1.18,
TAP 26 b,,,,,10.79,0.0968,,1.04,-0.25,1.17,4620
TCP J05074264+2447555 b,,9.2,,,,0.5,,0.25,,,
TIC 139270665 b,7.22979255,147.1545524,703,40.3,23.624,0.163,G2,1.035,0.03222,1.016,5844
TIC 139270665 c,,,200,0.21,1010,2,G2,1.035,0.03222,1.016,5844
TIC 172900988 b,11.3,837,,,193.965,0.88328,F9,1.2388,,1.3842,6050
TIC 237913194 b,12.520453,617.22586,974,,15.168865,0.1207,G3,1.026,0.07773,1.088,5788
TIC 241249530 b,13.29385111,1582.785467,,,165.7719,0.641,,1.271,0.40824,1.397,6166
TIC 257060897 b,,,,,3.660033,,,1.32,0.61,1.82,
TIC 279401253 b,11.2089807,1951.466419,,,76.8,0.369,,1.13,0.09691,1.06,5951
TIC 279401253 c,,,,,155.3,0.591,,1.13,0.09691,1.06,5951
TIC 365102760 b,6.21,19.2,,,4.21285367,0.0622,,1.17,,3.13,4900
TIC 393818343 b,,,,,,,G0,,,,
TIC 434398831 b,3.51,,1250,,3.685504,0.04641,G4 V,0.992,,0.909,5638
TIC 434398831 c,5.63,,1050,,6.210291,0.06572,G4 V,0.992,,0.909,5638
TIC 46432937 b,13.31626907,1017.050902,872,,1.44044527,0.02065,,0.563,-1.3851,0.5299,3572
TIC 4672985 b,11.5004142,4049.133905,517.2,,69.048,0.33,,1.01,0.11394,1.15,5757
TIC 88785435 b,5.03,,635,,10.508843,0.08432,K7 V,0.724,,0.911,3998
TOI-1011 b,1.44656,,1364,575.597,2.4704981,,,,,0.94,5413.7
TOI-1052 b,3.0629855,,1006.99,243.0118,9.139803966,,,,,1.58,5958.2
TOI-1052 c,,,719,39.7,35.806,0.2263,,1.204,,1.264,6146
TOI-1062 b,2.30057,,826,77.3573,4.1150576,,,,,0.89,5394
TOI-1062 c,,,859,95,7.972,0.08,G9 V,0.94,,0.84,5328
TOI-1064 b,2.46034403,,712.28,60.8313,6.443865747,,,,,0.737189,4803
TOI-1064 c,2.6014766,,575.35,25.897,12.22655952,,,,,0.737189,4803
TOI-1075 b,1.72,,1336,,0.6047328,0.0118,,0.6,,0.58,3921
TOI-1107 b,13.89817396,,1617.83,1619.0081,4.07823916,,,,,1.74836,6501
TOI-1117 b,2.46,8.9,1538,928,2.22816,0.033,G5 V,0.97,-0.4437,1.05,5635
TOI-1117 c,,,1210,355,4.579,0.0534,G5 V,0.97,-0.4437,1.05,5635
TOI-1117 d,,,978,152,8.665,0.0817,G5 V,0.97,-0.4437,1.05,5635
TOI-1130 b,3.66,19.8,825,,4.074554,0.0453,,0.745,,0.697,4360
TOI-1130 c,16.81347105,308.2935548,,,8.35038,,,0.684,,0.687,4250
TOI-1135 b,9.34085,,1074.28,254.894,8.0277283,0.082337403,,1.156039,,1.15,5962.7
TOI-1136 b,,3.5,1216,,4.1727,0.05106,,1.022,,0.968,5770
TOI-1136 c,2.879,,,,6.25725,,,1.022,,0.968,5770
TOI-1136 d,,8.35,843,,12.5199,0.1062,,1.022,,0.968,5770
TOI-1136 e,2.15976695,,672.98,48.4771,18.79554697,,,,,0.977727,5729
TOI-1136 f,3.73591482,32,598.11,,26.317822,0.175,,1.0404,-0.02687,0.9573,5805
TOI-1136 g,2.53,12.2,574,,39.5387,0.23,,1.0404,-0.02687,0.9573,5805
TOI-1173 b,9.01941098,28.3,868.95,,7.06456,0.071,,0.945,-0.16877,0.9361,5415
TOI-1174 b,2.562,,,52.02,8.953487683,0.07994,,0.85,,0.76,5030
TOI-1180 b,3.03617429,10,638.18,,9.686753,0.082,,0.7795,-0.57675,0.7425,4804
TOI-1181 b,16.1966394,377,1942.12,,2.10319365,0.0364,,1.4577,0.65312,1.9322,6046
TOI-1184 b,2.39,,,57.54,5.748433803,0.056027,,0.71,,0.69,4534
TOI-1194 b,8.76741,,1052,203.685,2.3106428,,,,,0.99,5339.9
TOI-1199 b,10.5140239,75.96098927,1486,,3.671463,0.04988,,1.23,0.30428,1.45,5710
TOI-1201 b,,,,,2.4919726,,M2.0 V,0.512,-1.46852,0.508,3476
TOI-122 b,2.63477634,,431.25,8.1743,5.078032535,,,,,0.334125,3318
TOI-1221 b,2.91,1112.399425,440,6.06,91.68278,0.387,,0.93,,1.031,5592
TOI-1224 b,2.104,,541,,4.1782745,0.0355,,0.4,-1.6968,0.404,3326
TOI-1224 c,3.38391242,,303.12,1.9952,17.94536449,,,,,0.404403,3442
TOI-1227 b,9.57246952,,,3.21,27.36397,0.0886,M4.5V-M5V,0.17,-2.60033,0.56,3072
TOI-1231 b,3.878568,,122.22,0.0527,24.24549669,,,,,0.465271,3535
TOI-1235 b,1.69,6.69,,,3.444714,,M0.5 V,0.63,-1.05404,0.619,3997
TOI-1238 b,1.21,3.76,1133,442,0.764597,0.0139,K7/M0,0.59,-1.08249,0.58,4089
TOI-1238 c,2.5248559,,700.6,56.9378,3.29476892,,,,,0.62326,3853
TOI-1244 b,2.37611439,6.6,714.86,,6.4003,0.061,,0.7528,-0.62893,0.7231,4722
TOI-1246 b,3.28198793,,954.88,196.4755,4.307451325,,,,,0.876154,5141
TOI-1246 c,2.45109846,9.1,862.49,,5.904137,0.061,,0.8889,-0.30103,0.8649,5213
TOI-1246 d,3.43139739,5.4,587.77,,18.654874,0.132,,0.8889,-0.30103,0.8649,5213
TOI-1246 e,3.24164296,,462.43,10.8068,37.92519834,,,,,0.876154,5141
TOI-1248 b,6.8084859,27.4,952.09,,4.3601561,0.051,,0.9042,-0.30016,0.8686,5205
TOI-1249 b,3.2710301,11.9,726.89,,13.079151,0.109,,1.0062,-0.10127,0.9785,5497
TOI-125 b,2.726,9.5,1037,185,4.65382,0.05186,K0 V,0.859,-0.28483,0.848,5320
TOI-125 c,2.759,6.63,827.8,77.59,9.15059,0.0814,K0 V,0.859,-0.28483,0.848,5320
TOI-125 d,2.54717,,562,16.5853,19.9815709,,,,,0.85,5154
TOI-1259 A b,12.55419255,,897.2,153.1389,3.477977628,,,,,0.765001,4699
TOI-1260 b,2.58028957,,813.04,103.2676,3.127463446,,,,,0.693431,4225
TOI-1260 c,2.76,13.2,651,29.81,7.493134,0.0657,,0.679,-0.88941,0.672,4227
TOI-1260 d,3.12,11.84,499,10.32,16.608164,0.1116,,0.679,-0.88941,0.672,4227
TOI-1266 b,2.4691414,,390.82,5.5137,10.8948421,,,,,0.435666,3618
TOI-1266 c,1.98,3.17,346,,18.8027,0.105,M2,0.437,-1.58021,0.4232,3563
TOI-1266 d,,3.68,288,,32.509,0.1513,M2,0.437,-1.58021,0.4232,3563
TOI-1268 b,8.37310858,,,,8.157728,0.068,K V,0.9,,0.86,5257
TOI-1269 b,2.40144286,6.4,1004.9,,4.2529913,0.0496,,0.9027,-0.21968,0.8521,5499
TOI-1272 b,4.13204907,27,975,,3.31599,0.0417,,0.8772,-0.42597,0.7934,5065
TOI-1272 c,,,,,8.6811,0.079,,0.8772,-0.42597,0.7934,5065
TOI-1273 b,11.09689089,70.55790635,1211,,4.631296,0.0549,,1.06,0.02938,1.06,5690
TOI-1278 b,8.69761726,,407.87,6.5402,14.47510623,,,,,0.55035,3841
TOI-1279 b,2.66146528,10.6,759,,9.61419,0.085,,0.8784,-0.24336,0.8426,5457
TOI-128.01,2.3216,,1178,320.012,4.9404714,,,,,1.13,6086
TOI-1288 b,4.94551,,1639,1198.41,2.6998294,,,,,0.92,6180
TOI-1288 c,,,,,443,,G V,0.89,-0.16749,1.01,5225
TOI-1294 b,10.12369881,63.9,1392.74,,3.915292,0.051,,1.1578,0.36847,1.5566,5718
TOI-1294 c,,,,,159.9,0.61,,1.1578,0.36847,1.5566,5718
TOI-1295 b,15.69257298,451.3163379,2360,1800,3.1968838,0.047,F,1.38,0.58659,1.7,6280
TOI-1296 b,14.11645916,95.3,1414.84,,3.9443736,0.051,,1.1576,0.40157,1.7031,5567
TOI-1298 b,9.65807033,99,1278,,4.537143,0.057,,1.2187,0.32056,1.4536,5752
TOI-1301.01,2.477,,,72.55,6.096407209,0.059866,,0.77,,0.732,4820
TOI-132 b,3.42,22.4,1395,860,2.1097019,0.026,G8 V,0.97,-0.22185,0.9,5397
TOI-1333 b,15.2105,,1609,1112.85,4.7201912,,,,,1.8,6696
TOI-1338 b,,21.8,,,95.174,0.4607,F8,1.127,,1.345,6050
TOI-1338 c,,,,,215.5,0.794,F8,1.127,,1.345,6050
TOI-1346 b,2.52358179,,1186.61,468.5415,1.762253726,,,,,0.784109,4965
TOI-1346 c,2.23,,928,,5.502558,,,0.82,,0.78,5099
TOI-1347 b,1.8,11.1,1400,,0.84742346,,,0.913,-0.25964,0.83,5464
TOI-1347 c,1.67761121,9,950.08,,4.841968,0.0546,,0.9279,-0.23582,0.8401,5493
TOI-1386 b,6.2163865,45.8,615.03,,25.8401,0.173,,1.0363,0.0103,1.0235,5735
TOI-1386 c,,,,,232,0.75,,1.0363,0.0103,1.0235,5735
TOI-139 b,2.4566,,561.17,,11.07085,,,0.69,,0.7007,4570
TOI-1408 b,16.81347105,537.1300078,,,4.424711,0.05804,,1.331,,1.274,6306
TOI-1408 c,2.22,7.6,,,2.1664,0.03587,F8 V,1.312,0.47129,1.53,6117
TOI-1410 c,,,,,47.56,0.239,,0.7941,-0.6216,0.7558,4635
TOI-1410.01,3.10083009,12.5,1236.7,,1.21687,0.0207,,0.7941,-0.6216,0.7558,4635
TOI-1411 b,1.404,,1125,266.85,1.4520486,,,,,0.69,4184
TOI-1416 b,1.60037,,1590,1061.92,1.0697621,,,,,0.8,4946
TOI-1420 b,11.89,25.1,957,139,6.9561063,0.071,,0.987,-0.15181,0.923,5510
TOI-1422 b,3.93681551,12.1,789.51,,12.9967,0.108,,0.9903,0.03302,1.0235,5811
TOI-1431 b,15.9327,,1720,1454.53,2.650232,,,,,1.94,7400
TOI-1437 b,2.43471042,10.4,794.23,,18.84078,0.139,,1.012,0.26435,1.2589,5986
TOI-1439 b,4.2427861,38.5,748.4,,27.644,0.192,,1.2313,0.44091,1.6184,5841
TOI-1442 b,1.17,,1072,,0.4090677,0.0071,,0.29,,0.31,3330
TOI-1443 b,2.30381001,30,520.66,,23.540678,0.147,,0.7663,-0.42022,0.7511,5224
TOI-1444 b,1.41792246,3.58,2130.02,,0.4702743,0.0116,,0.9513,-0.17587,0.9105,5460
TOI-1448 b,2.749,19.5,426,5.45,8.112245,0.0567,,0.372,-1.75498,0.38,3412
TOI-1450 A b,1.09248076,,660.39,44.9493,2.043926781,,,,,0.473603,3407
TOI-1450 A c,,,533,,5.0688,,M3.0 V,0.48,,0.483,3437
TOI-1451 b,2.61143902,15.2,723.33,,16.537944,0.127,,1.0022,0.02449,1.0162,5801
TOI-1452 b,1.672,4.82,326,1.8,11.06201,0.061,M4 +/- 0.5 V,0.249,-2.1549,0.275,3185
TOI-1453 b,1.17405,,963,142.833,4.3135263,,,,,0.71,4920
TOI-1453 c,2.12746,,646,28.9612,6.5886877,,,,,0.71,4920
TOI-1467 b,1.6759955,9,506.07,,5.97199,0.0495,,0.4518,-1.42022,0.4565,3776
TOI-1468 b,1.45486292,,623.55,35.7281,1.880531017,,,,,0.369306,3382
TOI-1468 c,2.01357599,,308.47,2.1399,15.53243849,,,,,0.369306,3382
TOI-1470 b,2.20071815,,661.9,45.3608,2.527282242,,,,,0.49012,3624
TOI-1470 c,2.47,7.24,373,3.35,18.08816,0.106,M1.5 V,0.471,-1.42481,0.469,3709
TOI-1472 b,4.47846985,,826.01,110.0201,6.363410552,,,,,0.859483,5103
TOI-1478 b,,,,,10.1803074,,,0.947,-0.01278,1.048,5597
TOI-150.01,15.46842,556.2025,1493,,5.857342,0.0583,,1.249,,1.551,6003
TOI-1516 b,17.2767,,1839,1899.83,2.0560153,,,,,1.24,6485
TOI-1518 b,21.01683881,731.0053361,2492,,1.902603,0.0389,F0,1.79,,1.95,7300
TOI-157 b,14.414774,375.0394,1588,1062,2.0845435,0.03138,G9 IV,0.948,0.01995,1.167,5404
TOI-1601 b,13.887951,314.6517,1619,,5.331751,0.06864,,1.517,0.73239,2.186,5948
TOI-163 b,14.62607111,,1584.35,1489.1126,4.231117262,,,,,1.66402,6671
TOI-1630.01,2.417,,,55.58,12.05573473,0.101151,,0.95,,0.83,5504
TOI-1634 b,1.773,7.57,,,0.9893455,,,0.451,-1.5784,0.45,3472
TOI-1634 c,,,,,103,,,0.451,-1.5784,0.45,3472
TOI-1659.01,2.18229043,,1031.14,267.1706,5.87755478,,,,,1.00568,5977
TOI-1669 b,,,,,502,,,1,,,5542.3
TOI-1669 c,2.3437,,1198,342.997,2.6800536,,,,,1.07,5550
TOI-1670 b,2.35616,,1043,196.694,10.9836724,,,,,1.31,6453
TOI-1670 c,11.06326395,200.2318964,684,,40.74976,0.249,F7 V,1.21,,1.316,6170
TOI-1680 b,1.466,,404,4.41,4.8026345,0.03144,M4.5+/-0.5,0.1798,-2.36251,0.2106,3225
TOI-1683.01,2.6382,,929.25,163.056,3.0575356,0.036507593,,0.694661,,0.7,4402
TOI-1685 b,1.459,3.43,1052,,0.6691416,0.011557,,0.46,-1.56703,0.459,3461
TOI-169 b,,,,,2.2554454,,G1 V,1.147,0.25261,1.288,5880
TOI-1691 b,3.56505068,14.6,703.49,,16.7369,0.126,,0.9581,-0.03058,1.009,5642
TOI-1693 b,1.41,,764,,1.7666957,0.0226,,0.49,,0.46,3499
TOI-1694 b,5.48002658,,953.42,195.2882,3.770129609,,,,,0.81833,5058
TOI-1694 c,,,,,389.2,,,0.84,,,5066.4
TOI-1695 b,2.03,5.5,590,27,3.134279,,,0.54,-1.36552,0.53,3650
TOI-1696 b,3.17138532,,491.65,13.8081,2.500529098,,,,,0.280475,3181
TOI-1710 b,5.20315158,22.4,602.99,,24.283377,0.166,,1.0258,-0.06349,0.9574,5684
TOI-1716.01,2.77252,,992,160.826,8.0823313,,,,,1.24,5878.6
TOI-172 b,10.816685,1722.6386,1198,299,9.47725,0.0914,,1.128,0.4609,1.777,5645
TOI-1723 b,2.95921,,802,68.9542,13.7270395,,,,,1.09,5777
TOI-1728 b,4.9395,,718,44.3221,3.4913952,,,,,0.63,3907
TOI-1736 b,3.18175535,12.3,1099.79,,7.073076,0.073,,1.0373,0.27068,1.4286,5636
TOI-1736 c,,,,,571.25,1.37,,1.0373,0.27068,1.4286,5636
TOI-1739 b,1.695,,755.55,54.35,8.303342,0.0742,,0.79,-0.52433,0.751,4922
TOI-1742 b,2.36507598,9.7,694.09,,21.269084,0.154,,1.0861,0.12123,1.131,5815
TOI-1744.01,2.68,,,63.31,22.34170293,0.164086,,1.18,,1.14,6179
TOI-1749 b,1.33994008,,771.76,83.8379,2.388905101,,,,,0.561356,3959
TOI-1749 c,1.99802983,,625.4,36.1539,4.489136685,,,,,0.561356,3959
TOI-1749 d,2.52,15,533,,9.0497,0.0707,M0 V,0.58,,0.55,3985
TOI-1751 b,2.77,14.5,,,37.46849,0.2116,,0.9,,1.2,5996
TOI-1753 b,2.47852533,16.6,1005.43,,5.3846104,0.059,,0.9483,-0.06956,0.9715,5621
TOI-1758 b,3.39245,,531,13.1989,20.7051499,,,,,0.81,5169
TOI-1759 b,3.09094,,435,5.9553,18.8500438,,,,,0.63,3960
TOI-1768.01,3.453,,,240.87,7.337703649,0.076381,,1.1,,1.1,5994
TOI-1772.01,2.83377057,,877.67,140.2333,8.054220726,,,,,0.995254,5583.1
TOI-1775 b,8.04728896,96,707.89,,10.2405549,0.08,,0.9218,-0.31605,0.8288,5284
TOI-1776 b,1.40339155,,1240.89,560.3349,2.800991471,,,,,0.945408,5723.87
TOI-1777.01,2.246,,,71.34,14.65011197,0.119466,,1.06,,0.98,5859
TOI-178 b,1.152,1.5,1040,,1.914558,0.02607,K,0.65,-0.87943,0.651,4316
TOI-178 c,1.51483691,,801.68,97.6159,3.238425315,,,,,0.660806,4111
TOI-178 d,2.572,3.01,690,,6.5577,0.0592,K,0.65,-0.87943,0.651,4316
TOI-178 e,2.207,3.86,600,,9.961881,0.0783,K,0.65,-0.87943,0.651,4316
TOI-178 f,2.61967665,,225.13,0.6071,15.23218428,,,,,0.660806,4111
TOI-178 g,3.751004,,535.94,19.4978,20.708504,,,,,0.701202,4111
TOI-1782.01,2.368,,,56.25,4.987641028,0.05024,,0.68,,0.669,4336
TOI-1782.02,2.12683751,,974.95,213.5234,1.829029399,,,,,0.668693,4336
TOI-1789 b,12.3921,,1287,455.479,3.2087149,,,,,2.26,5971.4
TOI-1794 b,3.29701268,8.7,992.91,,8.765528,0.082,,0.9698,0.19728,1.3162,5631
TOI-1798.01,2.448,,,69.26,8.021522331,0.074984,,0.87,,0.78,5165
TOI-1798.02,1.464,,,3345.44,0.437811822,0.010789,,0.87,,0.78,5165
TOI-1799 b,1.62771471,,911.96,163.4661,7.093853047,,,,,0.956941,5690
TOI-1801 b,1.96061882,16,431.03,,10.643985,0.075,,0.5051,-1.3279,0.5128,3748
TOI-1803 b,2.99,10.32,747,58,6.293287,0.06,,0.756,-0.65365,0.715,4687
TOI-1803 c,4.29,8,588,22,12.885779,0.097,,0.756,-0.65365,0.715,4687
TOI-1806.01,2.8411799,,308.7,2.1462,15.15120509,,,,,0.401575,3272
TOI-1807 b,1.49681583,2.44,1694.1,,0.54937097,0.0122,,0.8048,-0.53313,0.746,4914
TOI-181 b,7.05907991,,850.92,123.9024,4.532050173,,,,,0.805573,4983
TOI-1811 b,11.7215,,762,55.9743,3.7130701,,,,,0.81,4719
TOI-1820 b,12.778238,731.0053361,1375,,4.860674,0.061,,1.04,,1.51,5734
TOI-1823 b,7.5406241,67.4,423.63,,38.8,0.212,,0.8414,-0.46092,0.8049,4927
